NOC,Best_Params,CV_MSE,CV_RMSE,Train_MSE,Train_RMSE,Train_R2
BDI,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8}",0.24114955406164346,0.49106980569125147,3.9129961894632623e-07,0.0006255394623413667,0.999997913068699
BEL,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8}",50.35659760371503,7.096238271345955,0.11028361962340967,0.3320897764512025,0.9975846738514769
BEN,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
BER,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",0.09992637677328291,0.31611133604045727,3.1547399623944446e-06,0.0017761587661001604,0.9999649473337512
BHU,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
BIH,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
BIZ,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
BLR,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}",6.554998779076645,2.560273184462284,0.2913526469477793,0.5397709208060205,0.973464164125574
BOL,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
BOT,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",0.6569183991609219,0.8105050272274207,1.3631592430100547e-05,0.003692098648479012,0.9999649473337512
BRA,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}",19.262105476056014,4.388861523909818,0.05923226979542808,0.2433768061985942,0.998824756551678
BRN,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",1.1657490229291476,1.0796985796643188,0.07982372614520213,0.2825309295372847,0.9457378041372503
BRU,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
BUL,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 1.0}",45.37211691874726,6.73588278689195,5.008850616851954e-05,0.007077323376003073,0.9999995734673367
BUR,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0}",0.10000000000000002,0.31622776601683794,1.8828583601066166e-16,1.3721728608694375e-08,0.9999999999999977
