NOC,Pred_Gold_Medals,Gold_Medals_LowerCI,Gold_Medals_UpperCI,2024_Gold_Medals,CI_Margin,Prob_FirstMedal
ARU,0.0,0.0,0.0,0.0,0.0,0
ERI,0.0,0.0,0.0,0.0,0.0,0
FSM,0.0,0.0,0.0,0.0,0.0,0
GBS,0.0,0.0,0.0,0.0,0.0,0
GAB,0.0,0.0,0.0,0.0,0.0,0
CYP,0.0,0.0,0.0,0.0,0.0,0
DJI,0.0,0.0,0.0,0.0,0.0,0
CHA,0.0,0.0,0.0,0.0,0.0,0
CAM,0.0,0.0,0.0,0.0,0.0,0
CAY,0.0,0.0,0.0,0.0,0.0,0
CGO,0.0,0.0,0.0,0.0,0.0,0
BOL,0.0,0.0,0.0,0.0,0.0,0
BRU,0.0,0.0,0.0,0.0,0.0,0
BUR,0.0,0.0,0.0,0.0,0.0,0
CAF,0.0,0.0,0.0,0.0,0.0,0
COM,0.0,0.0,0.0,0.0,0.0,0
CPV,0.0,0.0,0.0,0.0,0.0,0
COD,0.0,0.0,0.0,0.0,0.0,0
COK,0.0,0.0,0.0,0.0,0.0,0
BEN,0.0,0.0,0.0,0.0,0.0,0
BHU,0.0,0.0,0.0,0.0,0.0,0
ISL,0.0,0.0,0.0,0.0,0.0,0
KIR,0.0,0.0,0.0,0.0,0.0,0
YEM,0.0,0.0,0.0,0.0,0.0,0
PAR,0.0,0.0,0.0,0.0,0.0,0
NRU,0.0,0.0,0.0,0.0,0.0,0
OMA,0.0,0.0,0.0,0.0,0.0,0
